Date,Closing Price,Open,Daily High,Daily Low
2020-03-11,32.98,34.62,36.35,32.56
2020-03-10,34.36,30.37,35.02,30.20
2020-03-09,31.13,32.87,34.88,27.34
2020-03-06,41.28,46.09,46.38,41.05
2020-03-05,45.90,47.13,47.57,45.65
2020-03-04,46.78,46.94,48.41,46.65
2020-03-03,47.18,47.72,48.66,46.47
2020-03-02,46.75,43.70,47.56,43.32
2020-02-28,44.76,46.49,47.03,43.85
2020-02-27,47.09,48.63,48.78,45.88
2020-02-26,48.73,50.08,50.44,48.30
2020-02-25,49.90,51.37,52.02,49.69
2020-02-24,51.43,52.60,52.64,50.45
2020-02-21,53.38,,,52.55
2020-02-20,53.78,53.50,54.50,53.22
2020-02-19,53.29,52.12,53.66,51.93
2020-02-18,52.05,,,50.88
2020-02-14,52.05,51.51,52.34,51.32
2020-02-13,51.42,51.72,51.96,50.60
2020-02-12,51.17,49.96,51.73,49.95
2020-02-11,49.94,49.61,50.69,49.58
2020-02-10,49.57,50.12,50.49,49.42
2020-02-07,50.32,51.11,51.48,50.09
2020-02-06,50.95,51.17,52.20,50.24
2020-02-05,50.75,49.51,51.88,49.47
2020-02-04,49.61,49.94,51.55,49.31
2020-02-03,50.11,51.01,51.97,49.80
2020-01-31,51.56,52.92,53.36,50.97
2020-01-30,52.14,53.09,53.20,51.66
2020-01-29,53.33,53.97,54.37,52.81
2020-01-28,53.48,52.77,54.06,52.68
2020-01-27,53.14,53.70,53.71,52.13
2020-01-24,54.19,55.69,55.95,53.85
2020-01-23,55.59,56.11,56.27,54.77
2020-01-22,56.74,,,56.03
2020-01-21,58.34,59.17,59.73,57.68
2020-01-17,58.54,58.59,58.98,58.27
2020-01-16,58.52,58.10,58.87,57.56
2020-01-15,57.81,58.20,58.36,57.36
2020-01-14,58.23,58.03,58.72,57.72
2020-01-13,58.08,59.04,59.27,57.91
2020-01-10,59.04,59.61,59.78,58.85
2020-01-09,59.56,59.99,60.31,58.66
2020-01-08,59.61,62.84,65.65,59.15
2020-01-07,62.70,62.91,63.15,62.11
2020-01-06,63.27,63.71,64.72,62.64
2020-01-03,63.05,61.18,64.09,61.13
2020-01-02,61.18,61.60,61.60,60.64
2019-12-31,61.06,61.68,61.88,60.63
2019-12-30,61.68,61.71,62.34,61.09
2019-12-27,61.72,61.73,61.97,61.24
2019-12-26,61.68,61.20,61.83,61.06
2019-12-24,61.11,60.63,61.16,60.47
2019-12-23,60.52,60.41,60.77,60.10
2019-12-20,60.44,,61.20,60.02
2019-12-19,61.22,60.86,61.47,60.79
2019-12-18,60.93,60.55,61.18,60.32
2019-12-17,60.94,60.23,61.06,60.03
2019-12-16,60.21,59.87,60.34,59.71
2019-12-13,60.07,59.36,60.48,59.27
2019-12-12,59.18,58.88,59.72,58.75
2019-12-11,58.76,59.06,59.22,58.11
2019-12-10,59.24,58.92,59.52,58.52
2019-12-09,59.02,59.11,59.25,58.23
2019-12-06,59.20,58.32,59.85,57.70
2019-12-05,58.43,58.36,59.12,58.10
2019-12-04,58.43,56.43,58.66,56.28
2019-12-03,56.10,55.96,56.80,55.35
2019-12-02,55.96,55.47,56.67,55.42
2019-11-29,55.17,58.13,58.30,55.02
2019-11-27,58.11,58.27,58.68,57.51
2019-11-26,58.41,57.92,58.56,57.76
2019-11-25,58.01,57.92,58.15,57.21
2019-11-22,57.77,58.31,58.74,57.50
2019-11-21,58.58,,58.67,56.60
2019-11-20,57.11,55.16,57.25,54.76
2019-11-19,55.21,56.90,57.11,55.04
2019-11-18,57.05,57.88,58.09,56.55
2019-11-15,57.72,56.91,57.97,56.43
2019-11-14,56.77,57.39,57.79,56.63
2019-11-13,57.12,56.79,57.53,56.20
2019-11-12,56.80,56.97,57.55,56.54
2019-11-11,56.86,56.75,,56.25
2019-11-10,56.76,57.40,57.40,56.73
2019-11-08,57.24,57.08,57.48,55.76
2019-11-07,57.15,56.35,57.88,56.27
2019-11-06,56.35,57.26,57.85,56.11
2019-11-05,57.23,56.56,57.50,56.30
2019-11-04,56.54,56.41,57.43,55.83
2019-11-01,56.20,54.15,56.33,54.07
2019-10-31,54.18,54.90,55.59,53.71
2019-10-30,55.06,55.53,55.73,54.42
2019-10-29,55.54,55.80,55.91,54.61
2019-10-28,55.81,56.65,56.92,55.58
2019-10-25,56.66,56.07,56.74,55.60
2019-10-24,56.23,55.90,56.51,55.41
2019-10-23,55.97,,56.07,53.62
2019-10-22,54.16,53.39,54.62,53.10
2019-10-21,53.31,53.71,54.03,52.71
2019-10-18,53.78,54.09,54.62,53.35
2019-10-17,53.93,52.99,54.16,52.62
2019-10-16,53.36,52.92,53.74,52.51
2019-10-15,52.81,53.51,53.79,52.39
2019-10-14,53.59,54.90,54.90,52.77
2019-10-11,54.70,53.88,54.93,53.64
2019-10-10,53.55,52.69,53.97,51.38
2019-10-09,52.59,52.57,53.74,52.31
2019-10-08,52.63,52.81,53.27,51.81
2019-10-07,52.75,52.69,54.06,52.59
2019-10-04,52.81,52.29,53.35,52.04
2019-10-03,52.45,52.47,52.91,50.99
2019-10-02,52.64,54.00,54.42,52.17
2019-10-01,53.62,54.28,54.84,53.05
2019-09-30,54.07,56.54,56.57,53.98
2019-09-27,55.91,56.51,56.76,54.75
2019-09-26,56.41,56.69,56.84,55.41
2019-09-25,56.49,56.70,57.02,55.55
2019-09-24,57.29,58.44,58.49,56.69
2019-09-23,58.64,59.25,59.39,57.37
2019-09-20,58.09,58.65,59.10,57.79
2019-09-19,58.13,58.20,59.54,58.01
2019-09-18,58.11,58.81,59.43,57.67
2019-09-17,59.34,61.96,62.59,58.46
2019-09-16,62.90,61.48,63.38,58.77
2019-09-13,54.85,55.15,55.68,54.44
2019-09-12,55.09,55.93,56.34,54.00
2019-09-11,55.75,57.89,58.30,55.61
2019-09-10,57.40,58.03,58.76,57.20
2019-09-09,57.85,56.80,58.16,56.58
2019-09-06,56.52,56.19,56.95,54.83
2019-09-05,56.30,55.95,57.76,55.75
2019-09-04,56.26,53.92,56.58,53.84
2019-09-03,53.94,55.00,55.24,52.84
2019-08-30,55.10,56.63,56.72,54.55
2019-08-29,56.71,55.88,56.89,55.43
2019-08-28,55.78,55.71,56.75,55.34
2019-08-27,54.93,53.76,55.72,53.69
2019-08-26,53.64,53.25,55.26,52.96
2019-08-23,54.17,55.35,55.60,53.24
2019-08-22,55.35,55.94,56.46,54.85
2019-08-21,55.68,,57.13,55.55
2019-08-20,56.34,56.10,56.60,55.28
2019-08-19,56.21,54.96,56.41,54.84
2019-08-16,54.87,54.74,55.67,54.26
2019-08-15,54.47,54.90,55.33,53.77
2019-08-14,55.23,56.74,56.85,53.97
2019-08-13,57.10,54.73,57.47,54.21
2019-08-12,54.93,54.32,55.16,53.54
2019-08-09,54.50,52.88,54.92,52.37
2019-08-08,52.54,52.33,53.06,51.94
2019-08-07,51.09,53.42,53.77,50.52
2019-08-06,53.63,54.95,55.42,53.29
2019-08-05,54.69,55.38,55.61,54.22
2019-08-02,55.66,54.54,56.05,54.15
2019-08-01,53.95,57.85,57.99,53.59
2019-07-31,58.58,58.34,58.82,57.81
2019-07-30,58.05,57.07,58.47,56.96
2019-07-29,56.87,56.20,57.10,55.81
2019-07-26,56.20,55.93,56.57,55.68
2019-07-25,56.02,55.90,56.99,55.81
2019-07-24,55.88,57.23,57.64,55.33
2019-07-23,56.77,,57.47,55.74
2019-07-22,56.22,56.22,56.84,55.72
2019-07-19,55.63,55.72,56.36,54.99
2019-07-18,55.30,56.60,57.32,54.72
2019-07-17,56.78,57.52,58.36,56.21
2019-07-16,57.62,59.26,60.06,57.07
2019-07-15,59.58,60.25,60.92,59.20
2019-07-12,60.21,60.46,60.74,59.93
2019-07-11,60.20,60.44,60.94,60.14
2019-07-10,60.43,58.40,60.53,58.35
2019-07-09,57.83,57.56,59.10,57.29
2019-07-08,57.66,57.77,58.46,57.30
2019-07-05,57.51,57.38,57.82,56.29
2019-07-03,57.34,56.49,57.48,56.04
2019-07-02,56.25,59.14,59.43,56.09
2019-07-01,59.09,59.27,60.28,58.34
2019-06-28,58.47,59.22,59.80,57.75
2019-06-27,59.43,59.27,59.73,58.61
2019-06-26,59.38,58.84,59.93,58.65
2019-06-25,57.83,57.74,58.84,57.20
2019-06-24,57.90,57.72,58.22,56.75
2019-06-21,57.43,,57.98,56.66
2019-06-20,56.65,54.12,57.02,54.11
2019-06-19,53.76,54.09,54.42,53.28
2019-06-18,53.90,51.95,54.31,51.50
2019-06-17,51.93,52.50,52.74,51.58
2019-06-14,52.51,52.18,52.98,51.70
2019-06-13,52.28,51.07,53.45,50.92
2019-06-12,51.14,53.04,53.05,50.72
2019-06-11,53.27,53.43,54.04,52.91
2019-06-10,53.26,54.24,54.84,53.05
2019-06-07,53.99,53.10,54.32,52.62
2019-06-06,52.59,51.66,53.30,51.17
2019-06-05,51.68,52.86,53.41,50.60
2019-06-04,53.48,52.89,53.78,52.43
2019-06-03,53.25,53.42,54.63,52.11
2019-05-31,53.50,56.46,56.61,53.05
2019-05-30,56.59,59.12,59.70,56.33
2019-05-29,58.81,59.07,59.14,56.88
2019-05-28,59.14,58.94,59.57,58.13
2019-05-24,58.63,58.21,59.10,57.50
2019-05-23,57.91,61.31,61.41,57.33
2019-05-22,61.42,,,61.03
2019-05-21,62.99,63.22,63.60,62.75
2019-05-20,63.10,62.93,63.81,62.45
2019-05-17,62.76,63.12,63.64,62.52
2019-05-16,62.87,62.12,63.48,62.08
2019-05-15,62.02,61.37,62.34,60.85
2019-05-14,61.78,60.86,62.11,60.69
2019-05-13,61.04,61.65,63.33,60.64
2019-05-10,61.66,61.64,62.49,61.42
2019-05-09,61.70,62.02,62.21,60.92
2019-05-08,62.12,61.44,62.37,61.07
2019-05-07,61.40,62.17,62.49,60.66
2019-05-06,62.25,61.43,62.95,60.04
2019-05-03,61.94,61.55,62.52,61.30
2019-05-02,61.81,63.61,63.68,60.95
2019-05-01,63.60,63.40,63.93,62.77
2019-04-30,63.91,63.58,64.75,63.30
2019-04-29,63.50,62.95,63.69,62.46
2019-04-26,63.30,65.13,65.18,62.28
2019-04-25,65.21,65.81,66.28,64.90
2019-04-24,65.89,66.17,66.43,65.66
2019-04-23,66.30,,66.60,65.58
2019-04-22,65.70,64.00,65.92,64.00
2019-04-18,64.00,63.75,64.16,63.46
2019-04-17,63.76,64.32,64.61,63.66
2019-04-16,64.05,63.57,64.37,62.99
2019-04-15,63.40,63.76,63.84,63.03
2019-04-12,63.89,63.71,64.65,63.66
2019-04-11,63.58,64.48,64.49,63.31
2019-04-10,64.61,64.22,64.70,64.05
2019-04-09,63.98,64.40,64.79,63.68
2019-04-08,64.40,63.33,64.48,63.13
2019-04-05,63.08,62.18,63.34,61.82
2019-04-04,62.10,62.50,62.77,61.89
2019-04-03,62.46,62.64,62.99,62.05
2019-04-02,62.58,61.81,62.75,61.60
2019-04-01,61.59,60.24,61.80,60.13
2019-03-29,60.14,59.53,60.73,59.41
2019-03-28,59.30,59.40,59.56,58.20
2019-03-27,59.41,60.03,60.22,58.81
2019-03-26,59.94,59.12,60.38,59.04
2019-03-25,58.82,58.98,59.35,58.17
2019-03-22,59.04,59.87,60.07,58.28
2019-03-21,59.98,,60.39,59.66
2019-03-20,59.83,59.02,60.12,58.39
2019-03-19,59.03,59.01,59.57,58.62
2019-03-18,59.09,58.45,59.23,58.05
2019-03-15,58.52,58.51,58.95,57.74
2019-03-14,58.61,58.35,58.74,58.00
2019-03-13,58.26,57.09,58.48,57.01
2019-03-12,56.87,56.76,57.55,56.74
2019-03-08,56.07,56.43,56.51,54.52
2019-03-07,56.66,56.20,56.99,56.08
2019-03-06,56.22,56.28,56.40,55.42
2019-03-05,56.56,56.45,57.19,56.09
2019-03-04,56.59,55.83,57.00,55.81
2019-03-01,55.80,57.22,57.88,55.57
2019-02-28,57.22,57.00,57.43,56.43
2019-02-27,56.94,55.95,57.39,55.72
2019-02-26,55.50,55.46,56.08,55.02
2019-02-25,55.48,57.17,57.53,55.08
2019-02-22,57.26,56.84,57.81,56.71
2019-02-21,56.96,,57.61,56.64
2019-02-20,56.92,55.94,57.55,55.48
2019-02-19,56.09,55.78,56.33,55.29
2019-02-15,55.59,54.48,55.87,54.24
2019-02-14,54.41,53.96,54.68,53.08
2019-02-13,53.90,53.35,54.60,53.27
2019-02-12,53.10,52.47,54.05,52.29
2019-02-11,52.41,52.66,52.78,51.23
2019-02-08,52.72,52.59,52.99,52.08
2019-02-07,52.64,53.94,54.21,51.80
2019-02-06,54.01,53.73,54.30,52.86
2019-02-05,53.66,54.86,55.21,53.47
2019-02-04,54.56,55.32,55.75,53.29
2019-02-01,55.26,54.01,55.66,53.37
2019-01-31,53.79,54.28,55.37,53.62
2019-01-30,54.23,53.24,54.93,53.09
2019-01-29,53.31,52.12,53.93,51.84
2019-01-28,51.99,53.56,53.64,51.33
2019-01-25,53.69,53.17,53.94,52.91
2019-01-24,53.13,52.45,53.47,52.07
2019-01-23,52.62,,53.64,51.86
2019-01-22,52.57,53.73,54.24,51.80
2019-01-18,53.80,52.23,53.92,52.09
2019-01-17,52.07,52.18,52.58,50.98
2019-01-16,52.31,52.00,52.52,51.26
2019-01-15,52.11,50.78,52.30,50.64
2019-01-14,50.51,51.73,52.11,50.38
2019-01-11,51.59,52.28,53.31,51.18
2019-01-10,52.59,52.18,52.78,51.37
2019-01-09,52.36,49.80,52.58,49.71
2019-01-08,49.78,48.73,49.95,48.31
2019-01-07,48.52,,49.79,
2019-01-04,47.96,46.90,49.22,46.65
2019-01-03,47.09,46.26,47.49,45.35
2019-01-02,46.54,45.80,47.78,44.35
2018-12-31,45.41,45.22,46.53,44.73
2018-12-28,45.33,45.44,46.22,44.42
2018-12-27,44.61,46.58,46.70,44.37
2018-12-26,46.22,42.85,47.00,42.52
2018-12-24,42.53,45.45,46.24,42.36
2018-12-21,45.59,46.25,46.77,45.13
2018-12-20,45.88,,,45.67
2018-12-19,47.20,45.93,48.00,45.93
2018-12-18,46.24,49.16,49.59,45.79
2018-12-17,49.88,51.25,51.87,49.01
2018-12-14,51.20,52.83,52.95,50.84
2018-12-13,52.58,51.20,53.27,50.35
2018-12-12,51.15,51.95,52.88,50.94
2018-12-11,51.65,50.89,52.43,50.70
2018-12-10,51.00,52.03,52.81,50.53
2018-12-07,52.61,51.76,54.22,50.60
2018-12-06,51.49,52.93,53.30,50.08
2018-12-05,52.89,52.59,54.29,52.16
2018-12-04,53.25,53.13,54.55,52.43
2018-12-03,52.95,52.45,53.85,52.03
2018-11-30,50.93,51.27,51.79,49.65
2018-11-29,51.45,50.31,52.20,49.47
2018-11-28,50.29,52.09,52.56,50.06
2018-11-27,51.56,51.54,52.38,50.30
2018-11-26,51.63,50.62,52.25,50.10
2018-11-23,50.42,54.66,54.82,50.15
2018-11-21,54.63,53.39,55.86,53.39
2018-11-20,53.43,,,52.77
2018-11-19,56.76,56.72,57.33,55.08
2018-11-16,56.46,56.58,57.96,55.89
2018-11-15,56.46,56.02,57.26,55.59
2018-11-14,56.25,55.27,57.37,55.13
2018-11-13,55.69,58.88,59.35,54.75
2018-11-12,59.93,60.70,61.28,58.68
2018-11-09,60.19,60.75,60.79,59.26
2018-11-08,60.67,61.64,62.42,60.40
2018-11-07,61.67,61.74,63.18,61.20
2018-11-06,62.21,62.70,63.32,61.31
2018-11-05,63.10,62.99,64.14,62.52
2018-11-02,63.14,63.50,63.95,62.63
2018-11-01,63.69,64.88,65.39,63.11
2018-10-31,65.31,66.32,67.00,64.81
2018-10-30,66.18,66.68,67.26,65.33
2018-10-29,67.04,67.55,67.95,66.29
2018-10-26,67.59,66.95,67.88,66.20
2018-10-25,67.33,66.36,67.65,65.99
2018-10-24,66.82,66.17,67.72,66.05
2018-10-23,66.43,,,65.74
2018-10-22,69.17,69.41,69.65,68.27
2018-10-19,69.12,68.68,69.77,68.56
2018-10-18,68.65,70.03,70.03,68.47
2018-10-17,69.75,72.17,72.43,69.43
2018-10-16,71.92,71.72,72.29,71.02
2018-10-15,71.78,71.85,72.70,70.85
2018-10-12,71.34,70.99,72.01,70.64
2018-10-11,70.97,72.68,72.76,70.51
2018-10-10,73.17,74.66,75.08,72.38
2018-10-09,74.96,74.21,75.28,74.00
2018-10-08,74.29,74.40,74.58,73.07
2018-10-05,74.34,74.67,75.22,73.83
2018-10-04,74.33,76.18,76.47,73.88
2018-10-03,76.41,75.12,76.90,74.30
2018-10-02,75.23,75.42,75.91,74.93
2018-10-01,75.30,73.29,75.77,72.95
2018-09-28,73.25,72.18,73.73,71.88
2018-09-27,72.12,72.01,72.60,71.71
2018-09-26,71.57,72.09,72.38,71.47
2018-09-25,72.28,72.25,72.78,71.89
2018-09-24,72.08,71.14,72.74,71.14
2018-09-21,70.78,,71.80,69.98
2018-09-20,70.80,71.39,71.81,70.73
2018-09-19,71.12,69.71,71.50,69.65
2018-09-18,69.85,68.80,70.42,68.53
2018-09-17,68.91,68.93,69.72,68.53
2018-09-14,68.99,68.79,69.91,67.94
2018-09-13,68.59,70.24,70.28,68.35
2018-09-12,70.37,69.89,71.26,69.50
2018-09-11,69.25,67.53,70.01,67.48
2018-09-10,67.54,67.82,68.52,67.35
2018-09-07,67.75,,68.08,66.86
2018-09-06,67.77,68.64,69.02,67.00
2018-09-05,68.72,69.43,69.59,68.56
2018-09-04,69.87,69.89,71.40,69.08
2018-08-31,69.80,70.06,70.36,69.64
2018-08-30,70.25,69.71,70.50,69.55
2018-08-29,69.51,68.54,69.76,68.37
2018-08-28,68.53,68.93,69.20,68.21
2018-08-27,68.87,68.57,68.97,68.34
2018-08-24,68.72,67.90,69.31,67.78
2018-08-23,67.83,68.07,68.12,67.32
2018-08-22,67.86,,68.15,
2018-08-21,67.35,66.62,68.10,66.52
2018-08-20,66.43,65.91,66.68,65.59
2018-08-17,65.91,65.47,66.39,65.30
2018-08-16,65.46,64.95,65.52,64.43
2018-08-15,65.01,66.62,66.90,64.51
2018-08-14,67.04,67.42,68.37,66.58
2018-08-13,67.20,67.78,67.95,65.71
2018-08-10,67.63,66.74,67.87,66.14
2018-08-09,66.81,66.79,67.41,66.49
2018-08-08,66.94,69.09,69.37,66.32
2018-08-07,69.17,68.90,69.83,68.81
2018-08-06,69.01,68.65,69.92,68.50
2018-08-03,68.49,68.99,69.24,67.87
2018-08-02,68.96,67.86,69.36,66.92
2018-08-01,67.66,68.43,68.52,67.31
2018-07-31,68.76,70.05,70.22,67.98
2018-07-30,70.13,69.01,70.43,68.80
2018-07-27,68.69,69.58,69.77,68.26
2018-07-26,69.61,69.38,69.92,68.92
2018-07-25,69.30,68.77,69.70,68.20
2018-07-24,68.52,67.80,69.05,67.56
2018-07-23,67.89,68.17,69.31,67.60
2018-07-20,70.46,69.39,71.10,69.37
2018-07-19,69.46,69.00,70.17,67.80
2018-07-18,68.76,67.61,69.06,67.06
2018-07-17,68.08,68.03,68.44,67.03
2018-07-16,68.06,70.52,70.87,67.58
2018-07-13,71.01,70.38,71.66,69.84
2018-07-12,70.33,70.60,71.23,69.23
2018-07-11,70.38,74.20,74.26,70.02
2018-07-10,74.11,74.04,74.70,73.65
2018-07-09,73.85,73.87,74.28,72.99
2018-07-06,73.80,73.16,74.01,72.14
2018-07-05,72.94,74.23,74.90,72.53
2018-07-03,74.14,74.08,75.27,72.73
2018-07-02,73.94,73.62,74.35,72.51
2018-06-29,74.15,73.33,74.46,72.93
2018-06-28,73.45,72.27,74.03,72.25
2018-06-27,72.76,70.68,73.06,70.56
2018-06-26,70.53,68.21,70.91,67.72
2018-06-25,68.08,68.75,69.44,67.78
2018-06-22,68.58,65.93,69.38,65.71
2018-06-21,65.54,,66.22,64.34
2018-06-20,66.22,65.11,66.53,65.01
2018-06-19,65.07,65.82,65.90,64.39
2018-06-18,65.85,64.40,65.98,63.59
2018-06-15,65.06,67.00,67.09,64.29
2018-06-14,66.89,66.62,67.16,66.36
2018-06-13,66.64,66.01,66.89,65.52
2018-06-12,66.36,66.05,66.69,65.87
2018-06-11,66.10,65.56,66.35,64.85
2018-06-08,65.74,65.98,66.24,65.33
2018-06-07,65.95,65.07,66.07,64.81
2018-06-06,64.73,65.51,65.96,64.27
2018-06-05,65.52,64.94,65.57,64.22
2018-06-04,64.75,65.71,66.04,64.57
